_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,BehaviouralFeatureResult,label
{'$oid': '5a421d732bfbb88f180e24dc'},A2P41X5L6AUZWJ,B00656S58M,Terry D. Schonert,"[0.0, 0.0]","I need a 44. I have other Ecco's that are 45's and thought that would be good for this shoe- not so.Thanks,Terry",3.0,How do I exchange the shoes?,1400025600,"05 14, 2014",Clothing_Shoes_and_Jewelry,"{'CS': 0.0, 'MNR': 0.0, 'RB': 0.0, 'RC': 0.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 1.0, 'AW': 0.0, 'RD': 1.0, 'RL': 112.0, 'ER': 0.0, 'PC': 3.370786517}",0.0
{'$oid': '5a421d732bfbb88f180e24dd'},A10NKBBLC98RUU,B000CDM3X2,Very Disappointed,"[17.0, 17.0]",I bought 3 sets to avail of the free shipping.  It has now come back to bite me - I will now have to pay $20 shipping both ways to return this $30 order.  I might as well use it as a floor mat.  It's definitely not for the body!,1.0,Don't even buy it at the lower $7.99 price,1155772800,"08 17, 2006",Home_and_Kitchen,"{'CS': 0.0, 'MNR': 0.0, 'RB': 0.0, 'RC': 0.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 1.0, 'AW': 0.0, 'RD': 1.741935484, 'RL': 228.0, 'ER': 1.0, 'PC': 1.156069364}",0.0
{'$oid': '5a421d732bfbb88f180e24de'},AJB1UJJKBTMOW,B00D9FOPFE,Roberta W.,"[0.0, 0.0]",This hat was too small for my head.  It will be going back.,1.0,too small,1405209600,"07 13, 2014",Clothing_Shoes_and_Jewelry,"{'CS': 0.13074409, 'MNR': 1.0, 'RB': 3.0, 'RC': 3.0, 'PR': 66.66666667, 'NR': 33.33333333, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 3.245614035, 'RL': 59.0, 'ER': 1.0, 'PC': 0.0}",0.0
{'$oid': '5a421d732bfbb88f180e24df'},A3CQ2D0Z2UNA46,B007WRIEKW,E. L. Beck,"[0.0, 0.0]",I know I didn't lose weight unfortunately which meant these were way too big on me. I'm a size 10.,3.0,way big...,1395532800,"03 23, 2014",Sports_and_Outdoors,"{'CS': 1.0, 'MNR': 1.0, 'RB': 10.0, 'RC': 22.0, 'PR': 77.27272727, 'NR': 4.545454545, 'FR': 0.136363636, 'RSP': 0.0, 'AW': 3259.0, 'RD': 1.333333333, 'RL': 98.0, 'ER': 0.0, 'PC': 1.298701299}",0.0
{'$oid': '5a421d732bfbb88f180e24e0'},A17E3DP8WY5DLT,B002MPVSHK,Src2924,"[0.0, 0.0]",I have to be honest and say that the battery actually  exceeded my expectations. I use my droid X all day for work. I would say this battery gives you ALMOST double the talk time. I used web and stream music off youtube all day. Which is hard on a battery. It's been a few months and the battery has lost some of its life...... But I expected that due to me charging on a rapid car charger daily.  But for the price one  that I paid  can order as often as needed . Does seem to be more durable than my oem battey thoughMy only complaint is that battery door is junk. After a few weeks its just falls off at random. But I also know take into account that I paid 12 bucks. I read reviews on this same product from another seller. A lot were bad. Which leads me to question how the OTHER seller stores and handles his product.All that being said...... Cant say anything about the seller.  They fulfilled every commitment  that was made. The product was accurately represented in the ad and delivered on time. I would say buy this product but maybe look into an oem battery door cover. I will definitely be buying  from this seller again.,3.0,Battery is great but covers is substandard.,1329004800,"02 12, 2012",Cell_Phones_and_Accessories,"{'CS': 0.437668273, 'MNR': 0.0, 'RB': 0.0, 'RC': 1.0, 'PR': 0.0, 'NR': 100.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 1.0, 'RL': 1134.0, 'ER': 0.0, 'PC': 0.792751982}",0.0
{'$oid': '5a421d732bfbb88f180e24e1'},AKJ4MY84XI0RE,B001FBL2SW,Backyard Bob,"[0.0, 0.0]","The Blue Micky was pretty disapponting. For starts, it kept coming loose from my iPod.So, there's a design flaw. It severely impedes use of the mic.",2.0,Disappointed,1273968000,"05 16, 2010",Electronics,"{'CS': 0.15677236, 'MNR': 0.0, 'RB': 0.0, 'RC': 1.0, 'PR': 0.0, 'NR': 100.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 1.604651163, 'RL': 148.0, 'ER': 0.0, 'PC': 2.521008403}",0.0
{'$oid': '5a421d732bfbb88f180e24e2'},A1MD9LK6PCQU81,B000U423Z6,VhS87,"[1.0, 1.0]",".45 is a lot of gun to conceal well(especially in Florida) and, unfortunately this doesn't do it. I've just started carrying but I can tell this isn't going to do it well. Even with a large shirt I'm imprinting, especially the magazine end of the grip. Actually even the belt clip is sticking out. Between the two it's an obvious bulge that clearly isn't a cell phone. Whether you can tell it's a gun or not, it's strange looking.  The weight feels good though. Maybe I need a better belt or maybe it would be better with a 1911 with a shortened grip as mine has a full length.  Don't know if a more expensive one will do it better either.",3.0,"4"" kimber",1334016000,"04 10, 2012",Sports_and_Outdoors,"{'CS': 0.367117536, 'MNR': 0.0, 'RB': 0.0, 'RC': 1.0, 'PR': 100.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 1.833333333, 'RL': 639.0, 'ER': 0.0, 'PC': 0.394477318}",0.0
{'$oid': '5a421d732bfbb88f180e24e3'},A1EJL3I0YV4DV5,B007R28B50,SF3,"[1.0, 1.0]",Several did not work at all on I pad. The ones that did function failed  after a short period of use of about a  week. Some work intermittently which is really aggravating as you never are sure you have a good one. One reliable one at 5 dollars is a better by than 10 of these clunkers.,1.0,Poor quality don't last long,1400803200,"05 23, 2014",Cell_Phones_and_Accessories,"{'CS': 0.266000149, 'MNR': 0.0, 'RB': 0.0, 'RC': 4.0, 'PR': 25.0, 'NR': 25.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 583.0, 'RD': 3.467219292, 'RL': 286.0, 'ER': 1.0, 'PC': 0.446428571}",0.0
{'$oid': '5a421d732bfbb88f180e24e4'},A2S1XUII9J94J8,B004I8WH8I,Lauren Yoes,"[0.0, 0.0]","I must have missed where it said battery operated, Requires 4AA batteries. Cheap. Bad sound quality. My daughter hasn't used it all.",1.0,Nope.,1389052800,"01 7, 2014",Electronics,"{'CS': 0.128102523, 'MNR': 1.0, 'RB': 1.0, 'RC': 1.0, 'PR': 100.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 2.285714286, 'RL': 132.0, 'ER': 1.0, 'PC': 2.803738318}",0.0
{'$oid': '5a421d732bfbb88f180e24e5'},A15G7G83NWN3SU,B000B5S6OQ,"J. A. Rogers ""yachtwright""","[7.0, 7.0]","As has been mentioned in a previous review, the non-stick coating flakes off after a few uses. I was able to get replacements from the manufacturer, but the same thing happened with the replacements. After a few uses, the poor quality of the non-stick coating fails and makes this appliace a total waste of money and time.",1.0,"Good Idea, bad non-stick.",1257552000,"11 7, 2009",Home_and_Kitchen,"{'CS': 0.337963185, 'MNR': 0.0, 'RB': 0.0, 'RC': 1.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 1.523809524, 'RL': 322.0, 'ER': 1.0, 'PC': 0.0}",0.0
{'$oid': '5a421d732bfbb88f180e24e6'},A3BTS3EY3LYRT2,B002MUR5WC,J. Boot,"[0.0, 1.0]","Bought 2 sets of 100 covers and they all have uneven flaps. It's like a preschooler cut them with scissors - the flaps are jagged, wavy and look very unprofessional. How hard is it to manufacture bags with straight edges? Several also have dings and scratches. Waste of $$.",1.0,Jagged uneven flaps,1354924800,"12 8, 2012",Toys_and_Games,"{'CS': 0.34388613, 'MNR': 0.0, 'RB': 0.0, 'RC': 1.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 3.714285714, 'RL': 273.0, 'ER': 1.0, 'PC': 0.452488688}",0.0
{'$oid': '5a421d732bfbb88f180e24e7'},A346UUI6L5AC6L,B004KA1HGM,Elizabeth Dowling,"[0.0, 0.0]","I wear these earring all the time.....with any outfit, to work, wherever.  There are comfortable and light. Bright silver and smooth labradorite.",5.0,beautiful,1371427200,"06 17, 2013",Clothing_Shoes_and_Jewelry,"{'CS': 0.166811531, 'MNR': 1.0, 'RB': 1.0, 'RC': 2.0, 'PR': 50.0, 'NR': 50.0, 'FR': 0.5, 'RSP': 0.0, 'AW': 47.0, 'RD': 0.0, 'RL': 145.0, 'ER': 1.0, 'PC': 4.347826087}",0.0
{'$oid': '5a421d732bfbb88f180e24e8'},ANYF5X4RWT5WT,B005WPUN1Y,liviu,"[0.0, 0.0]","IT IS VERY NICE LAPTOP, I HAVE NOTHING BAD TO SAY ABOUT IT, ABOUT PERFORMANCE.I GAVE JUST 3 POINTS BECAUSE LAPTOP CAME WITH MULTIPLE SCRATCHES AND SOME OF THE ILUMINATOR LIGHTS DON'T WORKING, BUT IT DOES NOT BUDER ME.",3.0,good laptop,1351900800,"11 3, 2012",Electronics,"{'CS': 0.149872662, 'MNR': 0.0, 'RB': 0.0, 'RC': 2.0, 'PR': 50.0, 'NR': 50.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 268.0, 'RD': 2.0, 'RL': 217.0, 'ER': 0.0, 'PC': 96.04519774}",0.0
{'$oid': '5a421d732bfbb88f180e24e9'},A3V8TEHZ32G99N,B0012J35XM,"Sue ""Sue""","[1.0, 1.0]",This was purchased as a Birthday gift & my great niece was thrilled!It arrived exactly as described & was very enthusiastically received.,5.0,My great-niece loved it!!!!,1215907200,"07 13, 2008",Toys_and_Games,"{'CS': 0.0, 'MNR': 0.0, 'RB': 0.0, 'RC': 0.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 1.0, 'AW': 0.0, 'RD': 0.295081967, 'RL': 137.0, 'ER': 1.0, 'PC': 1.739130435}",0.0
{'$oid': '5a421d732bfbb88f180e24ea'},A3RP13RYA655ON,B002OCGR54,"Angela Gelinas ""Angela""","[11.0, 11.0]",I bought this for about $3.50 and Walgreens.  I doesn't work at all.  You are supposed to use FM radio at 100 mHz.  Our local area picks up a station at that point so I can't get it to work at all.  Not worth even the $3.50.  Taking it back!,1.0,Piece of junk!,1262044800,"12 29, 2009",Toys_and_Games,"{'CS': 0.387145645, 'MNR': 0.0, 'RB': 0.0, 'RC': 1.0, 'PR': 0.0, 'NR': 100.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 1.285714286, 'RL': 241.0, 'ER': 1.0, 'PC': 2.222222222}",0.0
{'$oid': '5a421d732bfbb88f180e24eb'},A1JAFBJNC21CWV,B00CW3SJHY,Hegel,"[3.0, 3.0]","You can't be wrong if you buy this parang!!! its awesome, nice ergonomic handle, razor sharp, perfect size, convex grind! it has it all!!! and for the price you can't beat it! if think we should pay like 150 for this! I'm very happy with it!!!! This is a product that you will buy only one, cause is well done and very durable!!! I think i will have it for the next 15 years!!",5.0,This is the best in all amazon!!!  its almost indestrutible!!!,1389916800,"01 17, 2014",Sports_and_Outdoors,"{'CS': 0.643796306, 'MNR': 0.8, 'RB': 4.0, 'RC': 10.0, 'PR': 90.0, 'NR': 10.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 230.0, 'RD': 0.785714286, 'RL': 376.0, 'ER': 1.0, 'PC': 1.320132013}",0.0
{'$oid': '5a421d732bfbb88f180e24ec'},AJBUMMY0OI3WI,B005S2ODZS,Holly,"[0.0, 0.0]","In the description when I ordered, it stated it was a screen protector large enough for a nook/kindle.  However, when it arrived, it was a much smaller item for like an iPhone.  Ugh..  Waste of my money.",1.0,Wrong size!!,1365465600,"04 9, 2013",Electronics,"{'CS': 0.420049804, 'MNR': 0.285714286, 'RB': 2.0, 'RC': 10.0, 'PR': 100.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 374.0, 'RD': 2.784615385, 'RL': 203.0, 'ER': 1.0, 'PC': 0.628930818}",0.0
{'$oid': '5a421d732bfbb88f180e24ed'},A1B4BK2UMGMSQS,B00FXI5GDK,Susan Miller,"[3.0, 3.0]","This is my first ever review.  I normally just take things in stride.  But I just spent over an hour in the kitchen trying vacuum seal just 3 steaks.  This machine is fully AUTOMATIC.  It is supposed to recognize that the bag is in position and automatically vacuum and seal it.  The problem is that it only recognizes the bag 1 out of 20 times.  An there is nothing you can do about it except try it over and over an over and over and over and over and over...  (and don't try to tell me I'm not doing it right.  Believe me during those 20 time, I tried it every way there is.  and yes, I gave it the more than 4 extra inches that it wastes every time you use it.)  Once it does recognize it, as soon as you can see the vacuum starting, about 1/3 of the time,it quits vacuuming and starts sealing - with the vacuum only about a quarter of the air removed.  And you can't do anything about it except cancel it, remove the bag and try the 20 more times to re-insert it.  And as I already said, it wastes a lot of the bag.  They just want you to use up the bags quickly so they can sell you more.  And the bags are not cheap.  I don't know about the other models, but I can say that is model is not good.",1.0,don't get an automatic one!,1396224000,"03 31, 2014",Home_and_Kitchen,"{'CS': 0.0, 'MNR': 0.0, 'RB': 0.0, 'RC': 0.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 1.0, 'AW': 0.0, 'RD': 3.202380952, 'RL': 1202.0, 'ER': 1.0, 'PC': 1.185344828}",0.0
{'$oid': '5a421d732bfbb88f180e24ee'},APVARIXFDVF60,B008TH7XO2,Bart,"[1.0, 1.0]","I really liked the design of this case.  I wanted to not carry a wallet every day to work.  This holds my license, a credit card, and some cash - all I need.  For the first two months, it worked great.  But like most comments here, the hinge mechanism is very cheap, and now the lid falls off every time I open it.  Hopefully someone comes up with a better implementation.Edit: It would appear from the manufacturer web site, they have updated the hinge design for the IPhone 5 case.  It would appear, IPhone 4 users are out of luck.",2.0,"Good idea, poor quality",1375920000,"08 8, 2013",Cell_Phones_and_Accessories,"{'CS': 0.0, 'MNR': 0.0, 'RB': 0.0, 'RC': 0.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 1.0, 'AW': 0.0, 'RD': 0.638888889, 'RL': 533.0, 'ER': 0.0, 'PC': 1.666666667}",0.0
{'$oid': '5a421d732bfbb88f180e24ef'},A29VY0F1GH5A3E,B004Z9DZE0,Arch1,"[2.0, 2.0]","Not near as clear as other screen savers I have had and does not stay on very well. I wasted my money on this product, please don't waste yours.",1.0,Poor clarity.,1347667200,"09 15, 2012",Cell_Phones_and_Accessories,"{'CS': 0.272772363, 'MNR': 1.0, 'RB': 1.0, 'RC': 1.0, 'PR': 0.0, 'NR': 100.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 2.419047619, 'RL': 144.0, 'ER': 1.0, 'PC': 0.877192982}",0.0
{'$oid': '5a421d732bfbb88f180e24f0'},AE4MX722CI6E7,B005Y1CYSQ,"KBC ""KBC""","[2.0, 2.0]","I purchased this keyboard when I first gotmy I-pad. Loved how it worked, but after 4 months, it no longer held a charge.  I read (too late)in the instructions, that you should not let it lose all power before recharging. I had allowed that to happen and as I assumed it was my mistake,I ordered another..  This time I charged it frequently and at about 3 months, the same thing has happened....it's dead and will not recharge.  I will contact seller to complain, but would not order another. Obviously there is a design flaw.  Too bad, because I really liked how the keyboard ""felt"" and worked.",1.0,Very disappointing product,1389916800,"01 17, 2014",Electronics,"{'CS': 0.470009671, 'MNR': 0.0, 'RB': 0.0, 'RC': 2.0, 'PR': 0.0, 'NR': 50.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 148.0, 'RD': 3.156925032, 'RL': 594.0, 'ER': 1.0, 'PC': 0.211864407}",0.0
{'$oid': '5a421d732bfbb88f180e24f1'},A1R5MY0N020VCO,B0049SCB2Y,xjustice,"[0.0, 0.0]","Disconnects when walking in the room, will reconnect with Harmony remote fairly easily but annoying at the least, liked the 1 HDMI feature",2.0,Works but will disconnect with the slightest vibration on concrete floor,1383609600,"11 5, 2013",Electronics,"{'CS': 0.277132654, 'MNR': 1.0, 'RB': 1.0, 'RC': 1.0, 'PR': 100.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 2.444843509, 'RL': 138.0, 'ER': 0.0, 'PC': 5.172413793}",0.0
{'$oid': '5a421d732bfbb88f180e24f2'},A1F958T2GSWCEK,B000V63NQQ,"Raven ""Yolanda Vargas""","[14.0, 19.0]","I bought these they are comfortable, and have a side zipper they hug your body but not uncomfortably and dontfeel heavy or bulky however there are major drawbacks to them as wellDraw backsMy gripe with these is I bought them in extra large which this really is not, and was the largest size listed,even in this size if you have wide hips like I do and, and a wide waist you cannot close the side zipper and haveto wear them with the side zipper left open which is a real pain in the A. Some wider versions are needed becausesome of us no matter how thin we get will still always be wide bodied, I know they are not really an extra largebecause that is what I normally wear and that size fits me perfectly, but with these I cant close the zipper, theyare a large at the most, wound up giving both pairs to a smaller sized friendSuggestionLadies if like me you are larger built I suggest you try another brand, or get a mans version of this, a friend ofmine did that and it worked way better for herI do not blame Amazon for this I have a long happy buying history with them and will continue to do so, I blamethe manufacturer it is up to them to make the correct sizes, and mark the merchandise with the correct sizes onthe packageing. Hope this helps you",1.0,"False size listing, not for larger size, or wide bodied people",1294272000,"01 6, 2011",Sports_and_Outdoors,"{'CS': 0.688598949, 'MNR': 0.0, 'RB': 0.0, 'RC': 39.0, 'PR': 87.17948718, 'NR': 12.82051282, 'FR': 0.102564103, 'RSP': 0.0, 'AW': 1680.0, 'RD': 2.879551821, 'RL': 1254.0, 'ER': 1.0, 'PC': 1.57790927}",0.0
{'$oid': '5a421d732bfbb88f180e24f3'},A17I5A5SJYAXAX,B00064S9RQ,DOROTHY  ELERDING,"[1.0, 1.0]",Loved the box cover but the puzzle was not well done.  Colors faded and kind of run together.  Since I bought it I will continue working on it but will not purchase any more of this brand.,3.0,Colors disappointing,1377302400,"08 24, 2013",Toys_and_Games,"{'CS': 0.130223403, 'MNR': 0.0, 'RB': 0.0, 'RC': 2.0, 'PR': 100.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 60.0, 'RD': 1.846153846, 'RL': 188.0, 'ER': 0.0, 'PC': 1.360544218}",0.0
{'$oid': '5a421d732bfbb88f180e24f4'},A2WLFMLUANKXSA,B001UUO4GA,camelia,"[0.0, 0.0]","very nice boots! both elegant and cool! also comfortable, when you don't need to walk too much ;)great colors and texture",5.0,excellent!,1323388800,"12 9, 2011",Clothing_Shoes_and_Jewelry,"{'CS': 0.0, 'MNR': 0.0, 'RB': 0.0, 'RC': 0.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 1.0, 'AW': 0.0, 'RD': 1.090909091, 'RL': 121.0, 'ER': 1.0, 'PC': 0.0}",0.0
{'$oid': '5a421d732bfbb88f180e24f5'},A324A55O0X91QT,B007DND84M,Sabrina Clark,"[4.0, 4.0]","i specifically asked for a 'NO CONTRACT SPRINT PHONE' thats what i recieved. There's only one problem the phone has been Flashed and can never used with Sprint again. I am regular customer with amazon, I have never bought anything that was no good. I am very much disappointed.",1.0,Samsung Galaxy S II,1375488000,"08 3, 2013",Cell_Phones_and_Accessories,"{'CS': 0.281463126, 'MNR': 1.0, 'RB': 1.0, 'RC': 2.0, 'PR': 50.0, 'NR': 0.0, 'FR': 0.5, 'RSP': 0.0, 'AW': 29.0, 'RD': 2.394736842, 'RL': 277.0, 'ER': 1.0, 'PC': 10.22222222}",0.0
{'$oid': '5a421d732bfbb88f180e24f6'},A1VAZIXUDOPI6X,B002PBN70W,"Juan Marcano ""Juarrison""","[2.0, 3.0]","I bought this table and the table was damaged.  It seems like the packaging does not protect the table well.  Now, besides that problem, the table itself is very poor quality.  The dark paint was already peeling...and I am talking inside the box!.  So imagine having this table for a month or so of use.  Please, read the other comments and do not buy it!!!The only good thing is that the supplier answered quickly to my concern and he reimbursed all my money including shipping.  So 5 stars for the supplier but zero stars to this product.",1.0,Poor quality.  Do not buy this table,1377388800,"08 25, 2013",Home_and_Kitchen,"{'CS': 0.535152064, 'MNR': 1.0, 'RB': 3.0, 'RC': 7.0, 'PR': 71.42857143, 'NR': 14.28571429, 'FR': 0.0, 'RSP': 0.0, 'AW': 2966.0, 'RD': 3.093023256, 'RL': 540.0, 'ER': 1.0, 'PC': 0.23364486}",0.0
{'$oid': '5a421d732bfbb88f180e24f7'},ADLXJEUJNDNLU,B002QU7U6Y,Florida Grandma,"[2.0, 2.0]",I love this puzzle and all Charles Wysocki's puzzles.  They fit together well and the pictures are beautiful and bring me lots of joy for a little price.,5.0,Great puzzles!,1303516800,"04 23, 2011",Toys_and_Games,"{'CS': 0.405674042, 'MNR': 0.0, 'RB': 0.0, 'RC': 15.0, 'PR': 80.0, 'NR': 6.666666667, 'FR': 0.066666667, 'RSP': 0.0, 'AW': 415.0, 'RD': 1.0, 'RL': 153.0, 'ER': 1.0, 'PC': 1.62601626}",0.0
